id_developer,developer
886,Tunic Team
887,Data Realms
888,"Eek! Games, Llc"
889,Doborog Games
890,Dimps Corporation
891,Stellar Entertainment Limited
892,Lavapotion
893,Terry Cavanagh
894,Mirage Creative Lab
895,Cornered Rat Software
896,Alphasoft Llc
897,Gravity Interactive
898,Gigantic Duck Games
899,Dl Softworks
900,"Pixelshard, Killhouse Games"
901,Neowiz
902,Eggnut
903,"Double Action Factory, Jorge Rodriguez"
904,Mimicryteam
905,Cyanide Studio
906,Humble North
907,Huniepot
908,Valiant
909,Chalcedony Network
910,Kacper Stasiełuk
911,Alexander Bruce
912,"Spike Chunsoft Co., Ltd., Abstraction Games"
913,Destructive Creations
914,Barrel Roll Games
915,Aspyr Studios
916,Pathea Games
917,Draw Distance
918,"Cybercoconut, Fabio Ferrara"
919,Game River
920,Popcap
921,"Snk Corporation, Dotemu"
922,Proxy Studios
923,Jdm4Ik Games
924,"Gearbox Software, Aspyr (Mac)"
925,Evermore Game Studios
926,Kenny Sun
927,Carbine Studios
928,Dead Mage
929,Mckay
930,Spotted Kiwi Interactive
931,Valko Game Studios
932,Vankrupt Games
933,"Edmund Mcmillen, James Interactive, Ridiculon"
934,Cold Iron Studios
935,Godot Engine
936,Crackshell
937,Keizo
938,"Barbedwire Studios, Digitalmindsoft"
939,Overhype Studios
940,"Live Wire, Adglobe"
941,Big Corporation
942,Dojin Otome
943,Cyberconnect2
944,Mr-Software Gbr
945,"Poppermost Productions, Wastedstudios, Crytek"
946,Vulcron
947,Dreamsite Games
948,Tt Games Ltd
949,Back To Basics Gaming
950,The Coalition
951,Subworld
952,Michael Zahniser
953,Hempuli Oy
954,"Snowflame, Back To Basics Gaming"
955,David Moralejo Sánchez
956,Darkflow Software
957,Wicpar
958,Young Horses
959,Sven Co-Op Team
960,"Black Forest Games, Pandemic Studios"
961,Crows Crows Crows
962,Parovoz Animation Studio
963,"Infinity Ward, Beenox, High Moon Studios, Raven Software"
964,Worldwalker Games Llc
965,Lince Works
966,Rgg Studio
967,Redruins Softworks
968,Bulwark Studios
969,Experiment 101
970,Ember Lab
971,Unusualsoft
972,Ycjy Games
973,Killmonday Games Ab
974,Ben Otter
975,Hoplon
976,Heart Machine
977,Anukendev
978,Spicy Horse Games
979,Esea
980,零创游戏(Zerocreationgame)
981,"Rocketeer Games Studio, Llc"
982,Nomad Games
983,"Undefeated Games, Indie-Us Games"
984,Inxile Entertainment
985,Dragonrise Games
986,"Forward Development, Ltd."
987,Microids
988,Zugalu Entertainment
989,Paliverse
990,"Bugbear Entertainment, Zoom Platform Media, Jordan Freeman Group"
991,Giant Squid
992,"Userjoy Technology Co.,Ltd."
993,"Treyarch, Raven Software, High Moon Studios, Beenox, Activision Shanghai, Sledgehammer Games"
994,Crea-Ture Studios Inc.
995,Contingent99
996,Giant Sparrow
997,"Softstar Technology (Beijing) Co.,Ltd"
998,Ubisoft Pune
999,"Deep Silver Volition, High Voltage Software"
1000,Gsq Games
1001,软星科技(Softstarlight)
1002,Volens Nolens Games
1003,Dry Cactus
1004,Super Evil Megacorp
1005,Sloclap
1006,Betadwarf
1007,Alawar
1008,Polymorph Games
1009,Ravenhood Games
1010,Kikiyama
1011,Looking Glass Studios
1012,Planetary Annihilation Inc
1013,Eremite Games
1014,Darkpaw Games
